Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW
StarLightCurves 974 1154.3857731819153 58.907241323957976 1.8804237182702592 0.14815260756268395 3.4918309826209217 0.021898045519048705
Earthquakes 462 964.8992705345154 64.01775033607079 3.54449178802936 4.972867584944625 12.443121024841792 24.679707158955807
SemgHandMovementCh2 1450 3845.5518758296967 77.97712040263242 2.5633245359873658 3.3281258379379737 2.8768841562786904 5.18689021729488
InlineSkate 1832 3822.3234865665436 14.617625162966068 0.7764738065569057 0.09482537110889178 0.4769643089760732 0.008758051807905825
WormsTwoClass 850 1550.2588558197021 189.44321504305984 9.036880805337729 0.4036906386345599 45.12151172764814 0.04422585233488944
OliveOil 520 586.3538846969604 17.305320033739417 1.1035496810358523 0.030182603589691475 1.2178218985143314 0.00020930865090880733
Meat 398 269.62512588500977 4.703862939467572 0.5209062058334775 0.017339967174831026 0.25281157126690174 4.6049806895325166e-05
MixedShapesSmallTrain 974 1275.232190132141 167.64368762354758 9.2694683404764 0.3334325097287522 83.98038090093308 0.05931710065201062
ToeSegmentation1 227 178.48500800132751 193.4014299582086 14.240948654673792 1.506209702556376 111.705814902451 1.0965795999162389
Rock 2794 5443.529152870178 8.860300140983167 1.554959195420756 0.4118936895436465 2.4178765168462335 0.16878789757174165
AllGestureWiimoteX 276 1212.8956685066223 80.24849083528535 1.371437495801153 1.1374939115354892 1.293363180726673 1.00770878967039
PickupGestureWiimoteZ 217 321.49784994125366 176.46647308118418 2.7285923853322878 0.7742004260968356 3.1387239984091413 0.5432100921953171
Haptics 1042 2343.7843341827393 35.34757388376643 5.165748049739993 7.266759255047266 26.46713976984745 52.80021013307923
OSULeaf 377 596.2140116691589 148.37817617350208 8.323046913657707 0.7111712762757236 62.81597541633274 0.4692368167834207
SmallKitchenAppliances 670 561.2372107505798 38.79452710781704 0.22062247067202131 0.02310380173967724 0.0486742745654269 0.0005337856548263131
MixedShapesRegularTrain 974 676.750830411911 23.340966082872452 1.3788048801876078 0.1451910224934467 1.7889961886571908 0.0208222619343948
FordB 450 923.8052480220795 116.19021853314118 6.1735863767097605 1.70829152374612 17.487095685989722 1.4312802296386442
LargeKitchenAppliances 670 763.0320022106171 93.26361162841927 19.959813167458538 12.217899810425443 398.32128278652044 149.0446879495499
RefrigerationDevices 670 2380.430389881134 38.27129691393351 4.130926277392147 3.8792111411542005 2.318171890634567 3.6882710996937638
NonInvasiveFetalECGThorax2 700 1514.86297082901 129.4965386927043 15.225581851209887 0.8909239018680782 231.05919721688048 0.6931947524153365
Mallat 974 1446.113483428955 2.370227642399834 0.23949824467508987 0.02705188288028176 0.0467614120091349 0.0006030046540502884
ACSF1 1410 2565.2436859607697 2.2301487850903268 0.23404473701507048 0.38466822391383276 0.054776938924453476 0.14796964248902256
Beef 420 361.7878348827362 0.8342794293706096 0.14009063407523864 0.08474483080585091 0.018371495732359248 0.007179764464882169
ScreenType 670 1620.1814224720001 9.95930116469058 0.8284992410062445 0.9490109628681653 0.680986697765278 0.8679820154780393
DodgerLoopWeekend 238 906.6045036315918 167.86991611462827 9.553380420725576 6.250728852287129 36.77930615775537 13.414121104566048
Lightning7 269 388.77282094955444 175.34097182802327 7.193266960715896 0.8744939251274271 42.87971441749794 0.6594779707599674
Trace 225 471.85136008262634 27.098135617348117 1.528017786733927 0.3016605875529047 0.28729027395641826 0.08504618849506249
Worms 850 1657.2175993919373 150.08494290387213 46.818652865930574 6.921166478424354 2187.3110183857316 45.66770963979436
GesturePebbleZ1 100 142.47674655914307 172.1888388503869 7.836959641278754 3.9928319502620626 60.81327574523778 15.91985973319149
CinCECGTorso 1589 1433.2081689834595 120.30245523867899 2.2496625827011845 0.15406687198744468 4.192669752041355 0.01719921434285712
Strawberry 185 172.38354086875916 15.76528600363098 1.1448259520363522 0.2030719548308002 1.31062646045594 0.04063312650299816
HouseTwenty 1950 4079.1406993865967 37.632734993987356 0.8823359574647147 0.04051341907941879 0.7669424815688252 0.00120547684886675
Wine 184 469.53171825408936 138.31290497029966 11.89730619337341 1.46107075891026 52.698069431659235 1.0816176330377223
UMD 100 168.984543800354 107.20047569613968 10.831778188124881 2.9152783783437055 110.34704024821912 6.266836457102124
PigCVP 1950 1707.1508612632751 86.27637748138412 4.985813441832969 0.8036163898941564 20.109742401683558 0.634231241046177
SemgHandGenderCh2 1450 7167.054592370987 86.06422896973217 3.7197603675714577 4.981725205666128 5.521205849700379 12.24625950496754
DodgerLoopGame 238 923.4296164512634 178.54320244964902 10.219233444679412 6.545016143283228 50.64536076839171 19.561311866896087
UWaveGestureLibraryX 265 622.4016499519348 155.37072226114367 6.235158042188868 0.3136959689620707 35.110017163689534 0.08009233853252301
NonInvasiveFetalECGThorax1 700 726.4436678886414 106.02784707115816 7.858354165123108 0.8992613403959046 60.28593829489388 0.7861925511072908
Yoga 376 455.25893926620483 148.23840630420625 12.469147723555643 0.49158323852857744 155.4796449518529 0.14191141030621332
Herring 462 724.2810297012329 187.82752704498134 10.235086931031338 0.42168637326905334 100.80026742211179 0.08420830930031187
ArrowHead 201 197.26664328575134 97.82242069361526 6.445399489490131 0.7443256120496429 14.957031862940289 0.07306840029623024
BeetleFly 462 505.39448261260986 100.20667374705863 11.118718933005907 0.6162531786105764 122.87949891779037 0.3321919232157114
Coffee 236 320.25532484054565 191.7341912040317 18.106060798687977 0.6993424276487562 327.82943764578545 0.1545984490432771
UWaveGestureLibraryAll 895 574.4666171073914 61.15210746071279 3.050150434049038 0.09842830193670855 9.303417670329534 0.007382519889875053
Lightning2 587 1397.4098110198975 45.110978281161984 2.2343433565871615 0.48055361033931854 4.797600869996683 0.22386833404731946
